street,suburb,state,vendor,lat,lon,days_on_site,amenities,bathrooms,cellars,num_floors,monthly_fee_mxn,parking_lots,beds,department_type,m2,final_price,price_square_meter
Roma Sur, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.405299,-99.1649891,7,0,3,0,0,0.00,1,2,apt,176.00,9500000.00,53977.27
Roma Sur, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.405299,-99.1649891,7,0,3,0,0,0.00,2,2,apt,126.00,8700000.00,69047.62
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,2,0,0,0.00,1,3,apt,86.00,4495000.00,52267.44
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4158401,-99.1596792,7,0,3,0,0,0.00,2,3,apt,284.00,12900000.00,45422.54
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,2,0,0,0.00,2,2,apt,85.00,3995000.00,47000.00
Querétaro," Roma Norte, Cuauhtémoc", Distrito Federal,Jrasesores,19.4195256,-99.162549,6,6,3,0,0,0.00,1,3,apt,152.00,8500000.00,55921.05
Roma Sur, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.405299,-99.1649891,7,0,3,0,0,0.00,1,3,apt,193.00,6195000.00,32098.45
Coahuila," Roma Norte, Cuauhtémoc", Distrito Federal,Morris Lan,19.4119026,-99.1596531,2,4,2,0,0,0.00,2,2,apt,97.00,6042960.00,62298.56
Roma Sur, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.405299,-99.1649891,7,0,2,0,0,0.00,1,2,apt,111.00,5550000.00,50000.00
SN,Cuauhtemoc, Distrito Federal,Rent A House Cdmx,19.4301322,-99.1691413,7,0,2,0,0,0.00,1,2,apt,104.00,5350000.00,51442.31
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,2,0,0,0.00,1,3,apt,86.00,4495000.00,52267.44
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,2,0,0,0.00,1,3,apt,86.00,4495000.00,52267.44
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,2,0,0,0.00,1,3,apt,86.00,4495000.00,52267.44
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,3,0,0,0.00,2,3,apt,284.00,12900000.00,45422.54
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,1,0,0,0.00,1,1,apt,60.00,3595000.00,59916.67
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4196927,-99.1560364,7,0,1,0,0,0.00,1,1,apt,60.00,3395000.00,56583.33
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,1,0,0,0.00,1,1,apt,57.00,3780000.00,66315.79
Alejandría 111," Roma, Monterrey",Nuevo Leon,Century21 Urbana,25.656675,-100.2944792,4,0,1,0,0,0.00,1,1,apt,40.00,2325668.00,58141.70
Roma Sur, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.405299,-99.1649891,7,0,2,0,0,0.00,1,2,apt,111.00,5550000.00,50000.00
Quintana Roo," Roma Sur, Cuauhtémoc", Distrito Federal,Inmobiliariahaz,19.4057258,-99.1637564,3,4,2,0,0,0.00,2,2,apt,78.00,4500000.00,57692.31
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,2,0,0,0.00,1,2,apt,81.00,5393000.00,66580.25
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,1,0,0,0.00,1,1,apt,42.00,2595000.00,61785.71
Roma Sur, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.405299,-99.1649891,7,0,1,0,0,0.00,1,1,apt,48.00,2862381.00,59632.94
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,2,0,0,0.00,2,3,apt,90.00,4495000.00,49944.44
Roma Sur, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.405299,-99.1649891,7,0,3,0,0,0.00,2,2,apt,107.00,7040000.00,65794.39
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,2,0,0,0.00,1,2,apt,71.00,4455000.00,62746.48
Roma Sur, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.405299,-99.1649891,7,0,3,0,0,0.00,2,2,apt,107.00,7040000.00,65794.39
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4137406,-99.1610013,7,0,2,0,0,0.00,2,2,apt,163.00,9935982.00,60956.94
Roma Sur, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4356338,-99.1495107,7,0,1,0,0,0.00,1,1,apt,44.00,3615979.00,82181.34
Roma Sur, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4356338,-99.1495107,7,0,1,0,0,0.00,1,1,apt,44.00,3615970.00,82181.14
Roma Sur, Cuauhtémoc, Distrito Federal,Jrasesores,19.405299,-99.1649891,6,4,2,0,0,0.00,1,2,apt,78.00,4186666.00,53675.21
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4161012,-99.1653105,7,0,1,0,0,0.00,1,1,apt,39.00,2980000.00,76410.26
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4160872,-99.1653105,7,0,1,0,0,0.00,1,1,apt,39.00,2980000.00,76410.26
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,1,0,0,0.00,1,1,apt,39.00,2980000.00,76410.26
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,2,0,0,0.00,1,1,apt,67.00,4250000.00,63432.84
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,1,0,0,0.00,1,1,apt,60.00,3595000.00,59916.67
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4356338,-99.1495107,7,0,1,0,0,0.00,1,1,apt,39.00,2980000.00,76410.26
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,1,0,0,0.00,1,1,apt,60.00,3395000.00,56583.33
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,2,0,0,0.00,1,2,apt,110.00,7962400.00,72385.45
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4158401,-99.1596792,7,0,2,0,0,0.00,2,3,apt,90.00,4495000.00,49944.44
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,1,0,0,0.00,1,1,apt,57.00,3950000.00,69298.25
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4229547,-99.1652534,7,0,2,0,0,0.00,1,2,apt,61.00,4430000.00,72622.95
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4229547,-99.1652534,7,0,2,0,0,0.00,1,2,apt,86.00,4913500.00,57133.72
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,1,0,0,0.00,1,1,apt,39.00,2980000.00,76410.26
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,3,0,0,0.00,1,2,apt,122.00,8400000.00,68852.46
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,3,0,0,0.00,1,2,apt,122.00,8400000.00,68852.46
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,1,0,0,0.00,1,1,apt,61.00,4430000.00,72622.95
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,2,0,0,0.00,1,2,apt,71.00,4455000.00,62746.48
Roma Norte, Cuauhtémoc, Distrito Federal,Incitybienesraices,19.4195256,-99.162549,4,2,1,0,0,0.00,1,1,apt,39.00,3217500.00,82500.00
Roma Norte, Cuauhtémoc, Distrito Federal,Incitybienesraices,19.4195256,-99.162549,4,2,1,0,0,0.00,1,1,apt,38.00,3155000.00,83026.32
Roma Sur, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.405299,-99.1649891,7,0,2,0,0,0.00,2,3,apt,111.00,6426000.00,57891.89
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,2,0,0,0.00,1,2,apt,91.00,5145000.00,56538.46
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,1,0,0,0.00,1,1,apt,57.00,3750000.00,65789.47
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,2,0,0,0.00,1,1,apt,67.00,4278000.00,63850.75
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,2,0,0,0.00,1,2,apt,71.00,4390000.00,61830.99
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,2,0,0,0.00,1,1,apt,74.00,4780000.00,64594.59
Roma Sur, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.405299,-99.1649891,7,0,3,0,0,0.00,2,2,apt,120.00,7550000.00,62916.67
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,1,0,0,0.00,1,1,apt,39.00,2980000.00,76410.26
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,1,0,0,0.00,1,1,apt,37.00,3848548.00,104014.81
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4181605,-99.1584569,7,0,2,0,0,0.00,1,2,apt,78.00,4826900.00,61883.33
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4181605,-99.1584569,7,0,2,0,0,0.00,1,2,apt,78.00,4826900.00,61883.33
Roma Sur, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.405299,-99.1649891,7,0,2,0,0,0.00,1,2,apt,74.00,4229827.00,57159.82
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,1,0,0,0.00,1,2,apt,78.00,4483800.00,57484.62
Roma Sur, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4356338,-99.1495107,7,0,1,0,0,0.00,1,1,apt,45.00,3615970.00,80354.89
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,1,0,0,0.00,1,1,apt,39.00,2980000.00,76410.26
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,2,0,0,0.00,1,1,apt,67.00,4250000.00,63432.84
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,2,0,0,0.00,1,1,apt,69.00,4335000.00,62826.09
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,1,0,0,0.00,1,1,apt,57.00,3725000.00,65350.88
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,2,0,0,0.00,1,2,apt,65.00,4330000.00,66615.38
Roma Sur, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.405299,-99.1649891,7,0,2,0,0,0.00,1,2,apt,91.00,5145000.00,56538.46
Narvarte, Benito Juárez, Distrito Federal,Rent A House Cdmx,19.3941411,-99.1425459,7,0,2,0,0,0.00,2,3,apt,122.00,5795000.00,47500.00
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,3,0,0,0.00,2,2,apt,173.00,9151840.00,52900.81
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,1,0,0,0.00,1,1,apt,43.00,3370000.00,78372.09
Roma Norte," Ciudad De México, Cdmx, México, Roma Norte, Cuauhtémoc", Distrito Federal,Pireal Estate,19.4195256,-99.162549,3,0,2,0,4,0.00,1,1,apt,63.00,4454120.00,70700.32
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4158401,-99.1596792,7,0,3,0,0,0.00,1,3,apt,284.00,14700000.00,51760.56
Roma Sur, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4356338,-99.1495107,5,0,2,0,0,1.00,1,2,apt,145.00,6084392.00,41961.32
SN,Cuauhtemoc, Distrito Federal,Rematadascom,19.4021495,-99.170374,3,0,2,0,0,0.00,1,3,apt,111.00,2942543.00,26509.40
Roma Norte, Cuauhtémoc, Distrito Federal,Incitybienesraices,19.4124955,-99.1577268,4,4,2,0,0,0.00,1,2,apt,132.00,6853000.00,51916.67
Roma Sur, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4356338,-99.1495107,5,0,2,0,0,1.00,1,2,apt,145.00,6084392.00,41961.32
Roma Sur, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.405299,-99.1649891,7,0,2,0,0,0.00,1,2,apt,78.00,4100000.00,52564.10
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4158401,-99.1596792,7,0,3,0,0,0.00,2,3,apt,284.00,14700000.00,51760.56
SN,Cuauhtemoc, Distrito Federal,Rematadascom,19.407944,-99.1675301,3,0,2,0,0,0.00,1,3,apt,96.00,2327000.00,24239.58
Roma Norte, Cuauhtémoc, Distrito Federal,Incitybienesraices,19.4124955,-99.1577268,4,3,1,0,0,0.00,1,2,apt,59.00,4290000.00,72711.86
Roma Norte, Cuauhtémoc, Distrito Federal,Incitybienesraices,19.4124955,-99.1577268,4,4,2,0,0,0.00,1,2,apt,64.00,4312000.00,67375.00
Roma Norte, Cuauhtémoc, Distrito Federal,Incitybienesraices,19.4124955,-99.1577268,4,2,1,0,0,0.00,1,1,apt,41.00,3269750.00,79750.00
Roma Norte, Cuauhtémoc, Distrito Federal,Incitybienesraices,19.4124955,-99.1577268,4,2,1,0,0,0.00,1,1,apt,43.00,3429250.00,79750.00
Roma Norte, Cuauhtémoc, Distrito Federal,Incitybienesraices,19.4124955,-99.1577268,4,4,2,0,0,0.00,1,2,apt,126.00,6600000.00,52380.95
Roma Norte, Cuauhtémoc, Distrito Federal,Incitybienesraices,19.4124955,-99.1577268,4,4,2,0,0,0.00,1,2,apt,63.00,4202000.00,66698.41
Roma Norte, Cuauhtémoc, Distrito Federal,Incitybienesraices,19.4124955,-99.1577268,4,3,1,0,0,0.00,1,2,apt,76.00,4631000.00,60934.21
Roma Norte, Cuauhtémoc, Distrito Federal,Incitybienesraices,19.4124955,-99.1577268,4,2,1,0,0,0.00,1,1,apt,51.00,3840000.00,75294.12
Roma Norte, Cuauhtémoc, Distrito Federal,Incitybienesraices,19.4124955,-99.1577268,4,4,2,0,0,0.00,1,2,apt,62.00,4279000.00,69016.13
Roma Norte, Cuauhtémoc, Distrito Federal,Jrasesores,19.4195256,-99.162549,6,7,3,0,0,0.00,2,3,apt,157.00,9401000.00,59878.98
Roma Sur, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.405299,-99.1649891,7,0,2,0,0,0.00,1,2,apt,78.00,4100000.00,52564.10
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,1,0,0,0.00,1,1,apt,57.00,3640000.00,63859.65
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,1,0,0,0.00,1,1,apt,43.00,3370000.00,78372.09
Roma Sur, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.405299,-99.1649891,7,0,2,0,0,0.00,2,2,apt,74.00,4229827.00,57159.82
Roma Sur, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4126449,-99.1612825,7,0,2,0,0,0.00,2,2,apt,82.00,5006474.00,61054.56
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,1,0,0,0.00,1,1,apt,43.00,3370000.00,78372.09
Roma Sur, Cuauhtémoc, Distrito Federal,Promoluxury,19.405299,-99.1649891,7,4,2,0,0,0.00,1,2,apt,141.00,9859115.00,69922.80
Roma Sur, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4076742,-99.1600444,7,0,2,0,0,0.00,2,2,apt,74.00,4229827.00,57159.82
Roma Sur, Cuauhtémoc, Distrito Federal,Jrasesores,19.405299,-99.1649891,6,4,2,0,0,0.00,1,2,apt,67.00,4100000.00,61194.03
Roma Sur, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.405299,-99.1649891,7,0,2,0,0,0.00,1,2,apt,91.00,5145000.00,56538.46
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4218675,-99.1636483,7,0,1,0,0,0.00,1,1,apt,39.00,2980000.00,76410.26
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4247667,-99.157579,7,0,2,0,0,1.00,1,2,apt,91.00,5950000.00,65384.62
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4356338,-99.1495107,7,0,2,0,0,0.00,1,2,apt,167.00,8250000.00,49401.20
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4356338,-99.1495107,7,0,2,0,0,0.00,2,3,apt,162.00,10249470.00,63268.33
Roma Sur, Cuauhtémoc, Distrito Federal,Incitybienesraices,19.4063936,-99.1638207,4,4,2,0,0,0.00,2,2,apt,140.00,6990000.00,49928.57
Roma Sur, Cuauhtémoc, Distrito Federal,Promoluxury,19.405299,-99.1649891,7,4,2,0,0,0.00,1,2,apt,70.00,4997000.00,71385.71
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4130477,-99.1615075,7,0,2,0,0,0.00,2,2,apt,144.00,8584000.00,59611.11
Roma Sur, Cuauhtémoc, Distrito Federal,Incitybienesraices,19.4063936,-99.1638207,4,5,2,0,0,0.00,2,3,apt,286.00,9990000.00,34930.07
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4356338,-99.1495107,5,0,2,0,0,1.00,1,2,apt,90.00,5950000.00,66111.11
Roma Sur, Cuauhtémoc, Distrito Federal,Jrasesores,19.405299,-99.1649891,6,4,2,0,0,0.00,2,2,apt,77.00,4747034.00,61649.79
Roma," Roma Norte, Cuauhtémoc", Distrito Federal,Oscarjuarezmontao,19.4029252,-99.1680476,1,5,2,0,0,0.00,2,3,apt,111.00,6909413.00,62246.96
Roma Norte, Cuauhtémoc, Distrito Federal,Mi Casa Propia,19.410758,-99.1684745,365,5,2,0,0,0.00,1,3,apt,160.00,8500000.00,53125.00
Roma Norte, Cuauhtémoc, Distrito Federal,Mi Casa Propia,19.416758,-99.1624745,365,5,2,0,0,0.00,1,3,apt,150.00,8000000.00,53333.33
Constitucion," Roma Sur, Cuauhtémoc", Distrito Federal,Barragan Br,19.4020693,-99.1824032,210,4,2,0,0,0.00,1,2,apt,134.00,6137930.00,45805.45
Querétaro," Roma Norte, Cuauhtémoc", Distrito Federal,Grupo Inmobiliario Gid13,19.413758,-99.1654745,60,5,2,0,0,0.00,1,3,apt,160.00,8500000.00,53125.00
Querétaro," Roma Norte, Cuauhtémoc", Distrito Federal,Grupo Inmobiliario Gid13,19.413758,-99.1654745,60,5,2,0,0,0.00,1,3,apt,150.00,8000000.00,53333.33
Roma Norte, Cuauhtémoc, Distrito Federal,Mi Casa Propia,19.420787,-99.178499,180,4,2,0,0,0.00,1,2,apt,85.00,4695000.00,55235.29
Avenida Baja California 15," Roma Sur, Ciudad De México, Cdmx, México, Roma Sur, Cuauhtémoc", Distrito Federal,Metrica Inmobiliaria,19.4067443,-99.1561012,60,0,2,1,7,3700.00,1,2,apt,95.00,4570000.00,48105.26
Constitucion," Roma Sur, Cuauhtémoc", Distrito Federal,Barragan Br,19.4020558,-99.1824457,50,4,2,0,0,0.00,1,2,apt,94.00,6288450.00,66898.40
Nayarit," Roma Sur, Cuauhtémoc", Distrito Federal,Hipoo Mx,19.4100208,-99.1609595,18,6,2,0,0,0.00,1,3,apt,122.00,7040000.00,57704.92
Roma Sur, Cuauhtémoc, Distrito Federal,Barragan Br,19.441631,-99.14581,60,4,2,0,0,0.00,1,2,apt,73.00,4527000.00,62013.70
Roma Sur, Cuauhtémoc, Distrito Federal,Barragan Br,19.400076,-99.1843968,60,4,2,0,0,0.00,1,2,apt,77.00,4827000.00,62688.31
Cordoba," Roma Norte, Cuauhtémoc", Distrito Federal,Home Seekers,19.4124914,-99.1572585,35,3,1,0,0,0.00,1,2,apt,76.00,4450000.00,58552.63
Tonala," Roma Norte, Cuauhtémoc", Distrito Federal,Century21 Levalgroup,19.4130341,-99.1614773,270,0,3,0,0,0.00,2,3,apt,193.00,14148523.00,73308.41
