street,suburb,state,vendor,lat,lon,days_on_site,amenities,bathrooms,cellars,num_floors,monthly_fee_mxn,parking_lots,beds,department_type,m2,final_price,price_square_meter
Aguascalientes," Roma Sur, Cuauhtémoc", Distrito Federal,Habitare Luxury Living,19.4090847,-99.1643185,3,4,2,0,0,0,1,2,apt,145,9859115,67993.9
Roma Sur, Cuauhtémoc, Distrito Federal,Incitybienesraices,19.4043698,-99.1636062,4,2,1,0,0,0,1,1,apt,41,3382500,82500
Roma Sur, Cuauhtémoc, Distrito Federal,Incitybienesraices,19.4043698,-99.1636062,4,2,1,0,0,0,1,1,apt,54,4515000,83611.11
Roma Norte, Cuauhtémoc, Distrito Federal,Incitybienesraices,19.4195256,-99.162549,4,2,1,0,0,0,1,1,apt,56,4496000,80285.71
Roma Sur, Cuauhtémoc, Distrito Federal,Incitybienesraices,19.4043698,-99.1636062,4,2,1,0,0,0,1,1,apt,63,5257500,83452.38
Roma Sur, Cuauhtémoc, Distrito Federal,Incitybienesraices,19.4043698,-99.1636062,4,2,1,0,0,0,1,1,apt,49,4102500,83724.49
Roma Sur, Cuauhtémoc, Distrito Federal,Incitybienesraices,19.4043698,-99.1636062,4,2,1,0,0,0,1,1,apt,38,3195000,84078.95
Viaducto Miguel Alemán," Roma Sur, Cuauhtémoc", Distrito Federal,Jrasesores,19.4020904,-99.1626636,6,4,2,0,0,0,1,2,apt,84,4061500,48351.19
Roma Sur, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4127205,-99.1547904,7,0,1,0,0,0,1,1,apt,48,3306533,68886.1
Querétaro," Roma Norte, Cuauhtémoc", Distrito Federal,Inmobiliariahaz,19.4136591,-99.1653045,3,4,2,0,0,0,1,2,apt,89,5399999,60674.15
Aguascalientes," Roma Sur, Cuauhtémoc", Distrito Federal,Habitare Luxury Living,19.4090847,-99.1643185,3,3,1,0,0,0,1,2,apt,67,4314445,64394.7
Aguascalientes," Roma Sur, Cuauhtémoc", Distrito Federal,Habitare Luxury Living,19.4090847,-99.1643185,3,4,2,0,0,0,1,2,apt,74,4996100,67514.86
Roma Sur, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4052747,-99.1690454,7,0,2,0,0,0,1,2,apt,91,4850000,53296.7
Roma Sur, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.405299,-99.1649891,7,0,1,0,0,0,1,1,apt,45,3615970,80354.89
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4184344,-99.1558187,7,0,1,0,0,800,1,1,apt,60,3395000,56583.33
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,2,0,0,0,1,3,apt,86,4495000,52267.44
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,2,0,0,0,1,2,apt,81,5292000,65333.33
Av Chapultepec," Roma Norte, Cuauhtémoc", Distrito Federal,Aire Y Acero Inmobiliaria,19.418153,-99.1652014,8,0,1,1,1,0,1,1,apt,37,2792170,75464.05
Roma Sur, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.405299,-99.1649891,7,0,1,0,0,0,1,1,apt,48,3034124,63210.92
Roma Sur, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.405299,-99.1649891,7,0,3,0,0,0,1,2,apt,176,9500000,53977.27
Roma Sur, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.405299,-99.1649891,7,0,3,0,0,0,2,2,apt,126,8700000,69047.62
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,2,0,0,0,1,3,apt,86,4495000,52267.44
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4158401,-99.1596792,7,0,3,0,0,0,2,3,apt,284,12900000,45422.54
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,2,0,0,0,2,2,apt,85,3995000,47000
Querétaro," Roma Norte, Cuauhtémoc", Distrito Federal,Jrasesores,19.4195256,-99.162549,6,6,3,0,0,0,1,3,apt,152,8500000,55921.05
Roma Sur, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.405299,-99.1649891,7,0,3,0,0,0,1,3,apt,193,6195000,32098.45
Coahuila," Roma Norte, Cuauhtémoc", Distrito Federal,Morris Lan,19.4119026,-99.1596531,2,4,2,0,0,0,2,2,apt,97,6042960,62298.56
Roma Sur, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.405299,-99.1649891,7,0,2,0,0,0,1,2,apt,111,5550000,50000
SN,Cuauhtemoc, Distrito Federal,Rent A House Cdmx,19.4301322,-99.1691413,7,0,2,0,0,0,1,2,apt,104,5350000,51442.31
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,2,0,0,0,1,3,apt,86,4495000,52267.44
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,2,0,0,0,1,3,apt,86,4495000,52267.44
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,2,0,0,0,1,3,apt,86,4495000,52267.44
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,3,0,0,0,2,3,apt,284,12900000,45422.54
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,1,0,0,0,1,1,apt,60,3595000,59916.67
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4196927,-99.1560364,7,0,1,0,0,0,1,1,apt,60,3395000,56583.33
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,1,0,0,0,1,1,apt,57,3780000,66315.79
Alejandría 111," Roma, Monterrey",Nuevo Leon,Century21 Urbana,25.656675,-100.2944792,4,0,1,0,0,0,1,1,apt,40,2325668,58141.7
Roma Sur, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.405299,-99.1649891,7,0,2,0,0,0,1,2,apt,111,5550000,50000
Quintana Roo," Roma Sur, Cuauhtémoc", Distrito Federal,Inmobiliariahaz,19.4057258,-99.1637564,3,4,2,0,0,0,2,2,apt,78,4500000,57692.31
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,2,0,0,0,1,2,apt,81,5393000,66580.25
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,1,0,0,0,1,1,apt,42,2595000,61785.71
Roma Sur, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.405299,-99.1649891,7,0,1,0,0,0,1,1,apt,48,2862381,59632.94
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,2,0,0,0,2,3,apt,90,4495000,49944.44
Roma Sur, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.405299,-99.1649891,7,0,3,0,0,0,2,2,apt,107,7040000,65794.39
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,2,0,0,0,1,2,apt,71,4455000,62746.48
Roma Sur, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.405299,-99.1649891,7,0,3,0,0,0,2,2,apt,107,7040000,65794.39
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4137406,-99.1610013,7,0,2,0,0,0,2,2,apt,163,9935982,60956.94
Roma Sur, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4356338,-99.1495107,7,0,1,0,0,0,1,1,apt,44,3615979,82181.34
Roma Sur, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4356338,-99.1495107,7,0,1,0,0,0,1,1,apt,44,3615970,82181.14
Roma Sur, Cuauhtémoc, Distrito Federal,Jrasesores,19.405299,-99.1649891,6,4,2,0,0,0,1,2,apt,78,4186666,53675.21
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4161012,-99.1653105,7,0,1,0,0,0,1,1,apt,39,2980000,76410.26
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4160872,-99.1653105,7,0,1,0,0,0,1,1,apt,39,2980000,76410.26
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,1,0,0,0,1,1,apt,39,2980000,76410.26
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,2,0,0,0,1,1,apt,67,4250000,63432.84
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,1,0,0,0,1,1,apt,60,3595000,59916.67
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4356338,-99.1495107,7,0,1,0,0,0,1,1,apt,39,2980000,76410.26
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,1,0,0,0,1,1,apt,60,3395000,56583.33
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,2,0,0,0,1,2,apt,110,7962400,72385.45
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4158401,-99.1596792,7,0,2,0,0,0,2,3,apt,90,4495000,49944.44
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,1,0,0,0,1,1,apt,57,3950000,69298.25
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4229547,-99.1652534,7,0,2,0,0,0,1,2,apt,61,4430000,72622.95
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4229547,-99.1652534,7,0,2,0,0,0,1,2,apt,86,4913500,57133.72
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,1,0,0,0,1,1,apt,39,2980000,76410.26
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,3,0,0,0,1,2,apt,122,8400000,68852.46
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,3,0,0,0,1,2,apt,122,8400000,68852.46
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,1,0,0,0,1,1,apt,61,4430000,72622.95
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,2,0,0,0,1,2,apt,71,4455000,62746.48
Roma Norte, Cuauhtémoc, Distrito Federal,Incitybienesraices,19.4195256,-99.162549,4,2,1,0,0,0,1,1,apt,39,3217500,82500
Roma Norte, Cuauhtémoc, Distrito Federal,Incitybienesraices,19.4195256,-99.162549,4,2,1,0,0,0,1,1,apt,38,3155000,83026.32
Roma Sur, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.405299,-99.1649891,7,0,2,0,0,0,2,3,apt,111,6426000,57891.89
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,2,0,0,0,1,2,apt,91,5145000,56538.46
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,1,0,0,0,1,1,apt,57,3750000,65789.47
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,2,0,0,0,1,1,apt,67,4278000,63850.75
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,2,0,0,0,1,2,apt,71,4390000,61830.99
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,2,0,0,0,1,1,apt,74,4780000,64594.59
Roma Sur, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.405299,-99.1649891,7,0,3,0,0,0,2,2,apt,120,7550000,62916.67
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,1,0,0,0,1,1,apt,39,2980000,76410.26
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,1,0,0,0,1,1,apt,37,3848548,104014.81
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4181605,-99.1584569,7,0,2,0,0,0,1,2,apt,78,4826900,61883.33
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4181605,-99.1584569,7,0,2,0,0,0,1,2,apt,78,4826900,61883.33
Roma Sur, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.405299,-99.1649891,7,0,2,0,0,0,1,2,apt,74,4229827,57159.82
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,1,0,0,0,1,2,apt,78,4483800,57484.62
Roma Sur, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4356338,-99.1495107,7,0,1,0,0,0,1,1,apt,45,3615970,80354.89
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,1,0,0,0,1,1,apt,39,2980000,76410.26
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,2,0,0,0,1,1,apt,67,4250000,63432.84
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,2,0,0,0,1,1,apt,69,4335000,62826.09
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,1,0,0,0,1,1,apt,57,3725000,65350.88
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,2,0,0,0,1,2,apt,65,4330000,66615.38
Roma Sur, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.405299,-99.1649891,7,0,2,0,0,0,1,2,apt,91,5145000,56538.46
Narvarte, Benito Juárez, Distrito Federal,Rent A House Cdmx,19.3941411,-99.1425459,7,0,2,0,0,0,2,3,apt,122,5795000,47500
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,3,0,0,0,2,2,apt,173,9151840,52900.81
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,1,0,0,0,1,1,apt,43,3370000,78372.09
Roma Norte," Ciudad De México, Cdmx, México, Roma Norte, Cuauhtémoc", Distrito Federal,Pireal Estate,19.4195256,-99.162549,3,0,2,0,4,0,1,1,apt,63,4454120,70700.32
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4158401,-99.1596792,7,0,3,0,0,0,1,3,apt,284,14700000,51760.56
Roma Sur, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4356338,-99.1495107,5,0,2,0,0,1,1,2,apt,145,6084392,41961.32
SN,Cuauhtemoc, Distrito Federal,Rematadascom,19.4021495,-99.170374,3,0,2,0,0,0,1,3,apt,111,2942543,26509.4
Roma Norte, Cuauhtémoc, Distrito Federal,Incitybienesraices,19.4124955,-99.1577268,4,4,2,0,0,0,1,2,apt,132,6853000,51916.67
Roma Sur, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4356338,-99.1495107,5,0,2,0,0,1,1,2,apt,145,6084392,41961.32
Roma Sur, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.405299,-99.1649891,7,0,2,0,0,0,1,2,apt,78,4100000,52564.1
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4158401,-99.1596792,7,0,3,0,0,0,2,3,apt,284,14700000,51760.56
SN,Cuauhtemoc, Distrito Federal,Rematadascom,19.407944,-99.1675301,3,0,2,0,0,0,1,3,apt,96,2327000,24239.58
Roma Norte, Cuauhtémoc, Distrito Federal,Incitybienesraices,19.4124955,-99.1577268,4,3,1,0,0,0,1,2,apt,59,4290000,72711.86
Roma Norte, Cuauhtémoc, Distrito Federal,Incitybienesraices,19.4124955,-99.1577268,4,4,2,0,0,0,1,2,apt,64,4312000,67375
Roma Norte, Cuauhtémoc, Distrito Federal,Incitybienesraices,19.4124955,-99.1577268,4,2,1,0,0,0,1,1,apt,41,3269750,79750
Roma Norte, Cuauhtémoc, Distrito Federal,Incitybienesraices,19.4124955,-99.1577268,4,2,1,0,0,0,1,1,apt,43,3429250,79750
Roma Norte, Cuauhtémoc, Distrito Federal,Incitybienesraices,19.4124955,-99.1577268,4,4,2,0,0,0,1,2,apt,126,6600000,52380.95
Roma Norte, Cuauhtémoc, Distrito Federal,Incitybienesraices,19.4124955,-99.1577268,4,4,2,0,0,0,1,2,apt,63,4202000,66698.41
Roma Norte, Cuauhtémoc, Distrito Federal,Incitybienesraices,19.4124955,-99.1577268,4,3,1,0,0,0,1,2,apt,76,4631000,60934.21
Roma Norte, Cuauhtémoc, Distrito Federal,Incitybienesraices,19.4124955,-99.1577268,4,2,1,0,0,0,1,1,apt,51,3840000,75294.12
Roma Norte, Cuauhtémoc, Distrito Federal,Incitybienesraices,19.4124955,-99.1577268,4,4,2,0,0,0,1,2,apt,62,4279000,69016.13
Roma Norte, Cuauhtémoc, Distrito Federal,Jrasesores,19.4195256,-99.162549,6,7,3,0,0,0,2,3,apt,157,9401000,59878.98
Roma Sur, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.405299,-99.1649891,7,0,2,0,0,0,1,2,apt,78,4100000,52564.1
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,1,0,0,0,1,1,apt,57,3640000,63859.65
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,1,0,0,0,1,1,apt,43,3370000,78372.09
Roma Sur, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.405299,-99.1649891,7,0,2,0,0,0,2,2,apt,74,4229827,57159.82
Roma Sur, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4126449,-99.1612825,7,0,2,0,0,0,2,2,apt,82,5006474,61054.56
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,1,0,0,0,1,1,apt,43,3370000,78372.09
Roma Sur, Cuauhtémoc, Distrito Federal,Promoluxury,19.405299,-99.1649891,7,4,2,0,0,0,1,2,apt,141,9859115,69922.8
Roma Sur, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4076742,-99.1600444,7,0,2,0,0,0,2,2,apt,74,4229827,57159.82
Roma Sur, Cuauhtémoc, Distrito Federal,Jrasesores,19.405299,-99.1649891,6,4,2,0,0,0,1,2,apt,67,4100000,61194.03
Roma Sur, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.405299,-99.1649891,7,0,2,0,0,0,1,2,apt,91,5145000,56538.46
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4218675,-99.1636483,7,0,1,0,0,0,1,1,apt,39,2980000,76410.26
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4247667,-99.157579,7,0,2,0,0,1,1,2,apt,91,5950000,65384.62
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4356338,-99.1495107,7,0,2,0,0,0,1,2,apt,167,8250000,49401.2
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4356338,-99.1495107,7,0,2,0,0,0,2,3,apt,162,10249470,63268.33
Roma Sur, Cuauhtémoc, Distrito Federal,Incitybienesraices,19.4063936,-99.1638207,4,4,2,0,0,0,2,2,apt,140,6990000,49928.57
Roma Sur, Cuauhtémoc, Distrito Federal,Promoluxury,19.405299,-99.1649891,7,4,2,0,0,0,1,2,apt,70,4997000,71385.71
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4130477,-99.1615075,7,0,2,0,0,0,2,2,apt,144,8584000,59611.11
Roma Sur, Cuauhtémoc, Distrito Federal,Incitybienesraices,19.4063936,-99.1638207,4,5,2,0,0,0,2,3,apt,286,9990000,34930.07
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4356338,-99.1495107,5,0,2,0,0,1,1,2,apt,90,5950000,66111.11
Roma Sur, Cuauhtémoc, Distrito Federal,Jrasesores,19.405299,-99.1649891,6,4,2,0,0,0,2,2,apt,77,4747034,61649.79
Roma," Roma Norte, Cuauhtémoc", Distrito Federal,Oscarjuarezmontao,19.4029252,-99.1680476,1,5,2,0,0,0,2,3,apt,111,6909413,62246.96
Roma Norte, Cuauhtémoc, Distrito Federal,Mi Casa Propia,19.410758,-99.1684745,365,5,2,0,0,0,1,3,apt,160,8500000,53125
Roma Norte, Cuauhtémoc, Distrito Federal,Mi Casa Propia,19.416758,-99.1624745,365,5,2,0,0,0,1,3,apt,150,8000000,53333.33
Constitucion," Roma Sur, Cuauhtémoc", Distrito Federal,Barragan Br,19.4020693,-99.1824032,210,4,2,0,0,0,1,2,apt,134,6137930,45805.45
Querétaro," Roma Norte, Cuauhtémoc", Distrito Federal,Grupo Inmobiliario Gid13,19.413758,-99.1654745,60,5,2,0,0,0,1,3,apt,160,8500000,53125
Querétaro," Roma Norte, Cuauhtémoc", Distrito Federal,Grupo Inmobiliario Gid13,19.413758,-99.1654745,60,5,2,0,0,0,1,3,apt,150,8000000,53333.33
Roma Norte, Cuauhtémoc, Distrito Federal,Mi Casa Propia,19.420787,-99.178499,180,4,2,0,0,0,1,2,apt,85,4695000,55235.29
Avenida Baja California 15," Roma Sur, Ciudad De México, Cdmx, México, Roma Sur, Cuauhtémoc", Distrito Federal,Metrica Inmobiliaria,19.4067443,-99.1561012,60,0,2,1,7,3700,1,2,apt,95,4570000,48105.26
Constitucion," Roma Sur, Cuauhtémoc", Distrito Federal,Barragan Br,19.4020558,-99.1824457,50,4,2,0,0,0,1,2,apt,94,6288450,66898.4
Nayarit," Roma Sur, Cuauhtémoc", Distrito Federal,Hipoo Mx,19.4100208,-99.1609595,18,6,2,0,0,0,1,3,apt,122,7040000,57704.92
Roma Sur, Cuauhtémoc, Distrito Federal,Barragan Br,19.441631,-99.14581,60,4,2,0,0,0,1,2,apt,73,4527000,62013.7
Roma Sur, Cuauhtémoc, Distrito Federal,Barragan Br,19.400076,-99.1843968,60,4,2,0,0,0,1,2,apt,77,4827000,62688.31
Cordoba," Roma Norte, Cuauhtémoc", Distrito Federal,Home Seekers,19.4124914,-99.1572585,35,3,1,0,0,0,1,2,apt,76,4450000,58552.63
Tonala," Roma Norte, Cuauhtémoc", Distrito Federal,Century21 Levalgroup,19.4130341,-99.1614773,270,0,3,0,0,0,2,3,apt,193,14148523,73308.41
Tonala 177 Depto 302 Ph," Roma Norte, Cuauhtémoc", Distrito Federal,Century21 Levalgroup,19.4130341,-99.1614773,270,0,2,0,0,0,2,2,apt,91,13333718,146524.37
Bajio," Roma Sur, Cuauhtémoc", Distrito Federal,Luxuryhabitatmx,19.4029284,-99.16806,90,5,2,0,0,0,2,3,apt,111,7140000,64324.32
SN,Cuauhtemoc, Distrito Federal,Airnetwork Asesores Inmob,19.4311322,-99.1681413,330,8,5,0,0,0,2,3,apt,172,10900000,63372.09
Roma Norte, Cuauhtémoc, Distrito Federal,Airnetwork Asesores Inmob,19.4195256,-99.162549,365,5,2,0,0,0,3,2,apt,140,8400000,60000
Roma Sur, Cuauhtémoc, Distrito Federal,Zona Ryg,19.4019283,-99.1690601,150,5,2,0,0,0,2,3,apt,113,6000000,53097.35
Chiapas," Roma Norte, Cuauhtémoc", Distrito Federal,Eka Soluciones Inmobiliarias,19.4120249,-99.1642866,365,4,2,0,0,0,1,2,apt,77,5500000,71428.57
Sinaloa," Roma Norte, Cuauhtémoc", Distrito Federal,Airnetwork Asesores Inmob,19.4202853,-99.1696874,330,3,2,0,0,0,2,1,apt,158,6900000,43670.89
Zacatecas," Roma Sur, Cuauhtémoc", Distrito Federal,Luxence,19.4446241,-99.1286416,90,7,3,0,0,0,2,3,apt,284,12700000,44718.31
Roma Norte, Cuauhtémoc, Distrito Federal,Espaciosurbanosmx,19.4172482,-99.1716012,270,2,1,0,0,0,1,1,apt,36,3489158,96921.06
Tlacotalpan," Roma Norte, Cuauhtémoc", Distrito Federal,Gpobm3,19.4052563,-99.1662026,60,5,2,0,0,0,1,2,apt,190,11317200,59564.21
Tepeji," Roma Sur, Cuauhtémoc", Distrito Federal,Cattoribr,19.4078138,-99.1618723,17,6,2,0,0,0,2,3,apt,151,7568500,50122.52
Roma Norte, Cuauhtémoc, Distrito Federal,Eduardomarcelohernandezlopez,19.4155297,-99.1666371,300,4,2,0,0,0,1,2,apt,107,6250000,58411.22
